Timestamp,Memory Usage
2023-06-06 21:22:16.018804,167.19
2023-06-06 21:22:17.019217,143.48
2023-06-06 21:22:18.032056,144.42
2023-06-06 21:22:19.043727,167.19
2023-06-06 21:22:20.050918,159.39
2023-06-06 21:22:21.061599,136.25
2023-06-06 21:22:22.062280,171.61
2023-06-06 21:22:23.072382,175.35
2023-06-06 21:22:24.075307,171.83
2023-06-06 21:22:25.084456,169.7
2023-06-06 21:22:26.096510,175.39
2023-06-06 21:22:27.107413,172.76
2023-06-06 21:22:28.117003,170.12
2023-06-06 21:22:29.131348,170.12
2023-06-06 21:22:30.143589,175.41
2023-06-06 21:22:31.158288,174.77
2023-06-06 21:22:32.172824,174.6
2023-06-06 21:22:33.173506,169.32
2023-06-06 21:22:34.186812,171.97
2023-06-06 21:22:35.197122,148.55
2023-06-06 21:22:36.209145,169.33
2023-06-06 21:22:37.218028,171.97
2023-06-06 21:22:38.228430,171.97
2023-06-06 21:22:39.235726,172.06
2023-06-06 21:22:40.248669,172.06
2023-06-06 21:22:41.258629,173.5
2023-06-06 21:22:42.268348,172.07
2023-06-06 21:22:43.283110,167.89
2023-06-06 21:22:44.296991,152.1
2023-06-06 21:22:45.299821,140.11
